Export||85322299||2992.000||75854||02586 WHIRLPOOL, S.A.||RUI BARBOSA||AEROPUERTO INTERNACIONAL DE LA CIUDAD DE MEXICO,||11-11-14||CHINA (REPUBLICA POPULAR)||BRASIL (REPUBLICA FEDERATIVA DE)||null||INTERIOR DEL PAIS.||LOS DEMAS.||IMPORTACION O EXPORTACION DEFINITIVA.||Aereo|| 
 Export||39219099||239.870||18116||0900016, CAUPOLICAN S.A.||LA BRISAS||ENSENADA, ENSENADA, BAJA CALIFORNIA.||13-11-14||NICARAGUA (REPUBLICA DE)||NICARAGUA (REPUBLICA DE)||null||ESTADO DE BAJA CALIFORNIA Y PARCIAL DE SONORA||LAS DEMÃ�S PLACAS, LÃ�MINAS, PELÃ�CULAS, HOJAS Y TIRAS, DE PLÃ�STICO, EXCEPTO LOS DE PRODUCTOS CELULARES, DE POLÃ�MEROS DE ESTIRENO, POLÃ�MEROS DE CLORURO DE VINILO, DE POLIURETANOS, DE CELULOSA REGENERADA.||IMPORTACION O EXPORTACION DEFINITIVA.||Carretero|| 
 Export||39219099||239.870||10015||0900016, CAUPOLICAN S.A.||LA BRISAS||ENSENADA, ENSENADA, BAJA CALIFORNIA.||13-11-14||NICARAGUA (REPUBLICA DE)||NICARAGUA (REPUBLICA DE)||null||ESTADO DE BAJA CALIFORNIA Y PARCIAL DE SONORA||LAS DEMÃ�S PLACAS, LÃ�MINAS, PELÃ�CULAS, HOJAS Y TIRAS, DE PLÃ�STICO, EXCEPTO LOS DE PRODUCTOS CELULARES, DE POLÃ�MEROS DE ESTIRENO, POLÃ�MEROS DE CLORURO DE VINILO, DE POLIURETANOS, DE CELULOSA REGENERADA.||IMPORTACION O EXPORTACION DEFINITIVA.||Carretero|| 
 Export||39219099||479.730||25532||0900016, CAUPOLICAN S.A.||LA BRISAS||ENSENADA, ENSENADA, BAJA CALIFORNIA.||13-11-14||NICARAGUA (REPUBLICA DE)||NICARAGUA (REPUBLICA DE)||null||ESTADO DE BAJA CALIFORNIA Y PARCIAL DE SONORA||LAS DEMÃ�S PLACAS, LÃ�MINAS, PELÃ�CULAS, HOJAS Y TIRAS, DE PLÃ�STICO, EXCEPTO LOS DE PRODUCTOS CELULARES, DE POLÃ�MEROS DE ESTIRENO, POLÃ�MEROS DE CLORURO DE VINILO, DE POLIURETANOS, DE CELULOSA REGENERADA.||IMPORTACION O EXPORTACION DEFINITIVA.||Carretero|| 
 Export||39219099||239.870||12052||0900016, CAUPOLICAN S.A.||LA BRISAS||ENSENADA, ENSENADA, BAJA CALIFORNIA.||13-11-14||NICARAGUA (REPUBLICA DE)||NICARAGUA (REPUBLICA DE)||null||ESTADO DE BAJA CALIFORNIA Y PARCIAL DE SONORA||LAS DEMÃ�S PLACAS, LÃ�MINAS, PELÃ�CULAS, HOJAS Y TIRAS, DE PLÃ�STICO, EXCEPTO LOS DE PRODUCTOS CELULARES, DE POLÃ�MEROS DE ESTIRENO, POLÃ�MEROS DE CLORURO DE VINILO, DE POLIURETANOS, DE CELULOSA REGENERADA.||IMPORTACION O EXPORTACION DEFINITIVA.||Carretero|| 
 Export||39219099||2398.660||120529||0900016, CAUPOLICAN S.A.||LA BRISAS||ENSENADA, ENSENADA, BAJA CALIFORNIA.||13-11-14||NICARAGUA (REPUBLICA DE)||NICARAGUA (REPUBLICA DE)||null||ESTADO DE BAJA CALIFORNIA Y PARCIAL DE SONORA||LAS DEMÃ�S PLACAS, LÃ�MINAS, PELÃ�CULAS, HOJAS Y TIRAS, DE PLÃ�STICO, EXCEPTO LOS DE PRODUCTOS CELULARES, DE POLÃ�MEROS DE ESTIRENO, POLÃ�MEROS DE CLORURO DE VINILO, DE POLIURETANOS, DE CELULOSA REGENERADA.||IMPORTACION O EXPORTACION DEFINITIVA.||Carretero|| 
 Export||39219099||239.870||12766||0900016, CAUPOLICAN S.A.||LA BRISAS||ENSENADA, ENSENADA, BAJA CALIFORNIA.||13-11-14||NICARAGUA (REPUBLICA DE)||NICARAGUA (REPUBLICA DE)||null||ESTADO DE BAJA CALIFORNIA Y PARCIAL DE SONORA||LAS DEMÃ�S PLACAS, LÃ�MINAS, PELÃ�CULAS, HOJAS Y TIRAS, DE PLÃ�STICO, EXCEPTO LOS DE PRODUCTOS CELULARES, DE POLÃ�MEROS DE ESTIRENO, POLÃ�MEROS DE CLORURO DE VINILO, DE POLIURETANOS, DE CELULOSA REGENERADA.||IMPORTACION O EXPORTACION DEFINITIVA.||Carretero|| 
 Export||39219099||959.460||48211||0900016, CAUPOLICAN S.A.||LA BRISAS||ENSENADA, ENSENADA, BAJA CALIFORNIA.||13-11-14||NICARAGUA (REPUBLICA DE)||NICARAGUA (REPUBLICA DE)||null||ESTADO DE BAJA CALIFORNIA Y PARCIAL DE SONORA||LAS DEMÃ�S PLACAS, LÃ�MINAS, PELÃ�CULAS, HOJAS Y TIRAS, DE PLÃ�STICO, EXCEPTO LOS DE PRODUCTOS CELULARES, DE POLÃ�MEROS DE ESTIRENO, POLÃ�MEROS DE CLORURO DE VINILO, DE POLIURETANOS, DE CELULOSA REGENERADA.||IMPORTACION O EXPORTACION DEFINITIVA.||Carretero|| 
 Export||39219099||239.870||18728||0900016, CAUPOLICAN S.A.||LA BRISAS||ENSENADA, ENSENADA, BAJA CALIFORNIA.||13-11-14||NICARAGUA (REPUBLICA DE)||NICARAGUA (REPUBLICA DE)||null||ESTADO DE BAJA CALIFORNIA Y PARCIAL DE SONORA||LAS DEMÃ�S PLACAS, LÃ�MINAS, PELÃ�CULAS, HOJAS Y TIRAS, DE PLÃ�STICO, EXCEPTO LOS DE PRODUCTOS CELULARES, DE POLÃ�MEROS DE ESTIRENO, POLÃ�MEROS DE CLORURO DE VINILO, DE POLIURETANOS, DE CELULOSA REGENERADA.||IMPORTACION O EXPORTACION DEFINITIVA.||Carretero|| 
 Export||39219099||479.730||25532||0900016, CAUPOLICAN S.A.||LA BRISAS||ENSENADA, ENSENADA, BAJA CALIFORNIA.||13-11-14||NICARAGUA (REPUBLICA DE)||NICARAGUA (REPUBLICA DE)||null||ESTADO DE BAJA CALIFORNIA Y PARCIAL DE SONORA||LAS DEMÃ�S PLACAS, LÃ�MINAS, PELÃ�CULAS, HOJAS Y TIRAS, DE PLÃ�STICO, EXCEPTO LOS DE PRODUCTOS CELULARES, DE POLÃ�MEROS DE ESTIRENO, POLÃ�MEROS DE CLORURO DE VINILO, DE POLIURETANOS, DE CELULOSA REGENERADA.||IMPORTACION O EXPORTACION DEFINITIVA.||Carretero|| 
 Export||39219099||959.460||51065||0900016, CAUPOLICAN S.A.||LA BRISAS||ENSENADA, ENSENADA, BAJA CALIFORNIA.||13-11-14||NICARAGUA (REPUBLICA DE)||NICARAGUA (REPUBLICA DE)||null||ESTADO DE BAJA CALIFORNIA Y PARCIAL DE SONORA||LAS DEMÃ�S PLACAS, LÃ�MINAS, PELÃ�CULAS, HOJAS Y TIRAS, DE PLÃ�STICO, EXCEPTO LOS DE PRODUCTOS CELULARES, DE POLÃ�MEROS DE ESTIRENO, POLÃ�MEROS DE CLORURO DE VINILO, DE POLIURETANOS, DE CELULOSA REGENERADA.||IMPORTACION O EXPORTACION DEFINITIVA.||Carretero|| 
 Export||39219099||191.890||10213||0900016, CAUPOLICAN S.A.||LA BRISAS||ENSENADA, ENSENADA, BAJA CALIFORNIA.||13-11-14||NICARAGUA (REPUBLICA DE)||NICARAGUA (REPUBLICA DE)||null||ESTADO DE BAJA CALIFORNIA Y PARCIAL DE SONORA||LAS DEMÃ�S PLACAS, LÃ�MINAS, PELÃ�CULAS, HOJAS Y TIRAS, DE PLÃ�STICO, EXCEPTO LOS DE PRODUCTOS CELULARES, DE POLÃ�MEROS DE ESTIRENO, POLÃ�MEROS DE CLORURO DE VINILO, DE POLIURETANOS, DE CELULOSA REGENERADA.||IMPORTACION O EXPORTACION DEFINITIVA.||Carretero|| 
 Export||18061099||2088.000||141411||& CAFE  S,A,||24 CALLE ZONA 12||CIUDAD HIDALGO, CIUDAD HIDALGO, CHIAPAS.||18-11-14||GUATEMALA (REPUBLICA DE)||GUATEMALA (REPUBLICA DE)||null||INTERIOR DEL PAIS.||CACAO EN POLVO SIN ADICIÃ“N DE AZÃšCAR NI OTRO EDULCORANTE.||IMPORTACION O EXPORTACION DEFINITIVA.||Carretero|| 
 Export||34021399||10100.000||561763||(587)  EUROSEMILLAS, S.A.||FRENTE A HIPER MAS CURRIBADAT SOBRE CTRA. VIEJA CA||MAZATLAN, MAZATLAN, SINALOA.||25-11-14||COSTA RICA (REPUBLICA DE)||COSTA RICA (REPUBLICA DE)||null||INTERIOR DEL PAIS.||LOS DEMAS.||IMPORTACION O EXPORTACION DEFINITIVA.||Maritimo|| 
 Export||34021399||2052.000||156847||(587)  EUROSEMILLAS, S.A.||FRENTE A HIPER MAS CURRIBADAT SOBRE CTRA. VIEJA CA||MAZATLAN, MAZATLAN, SINALOA.||25-11-14||COSTA RICA (REPUBLICA DE)||COSTA RICA (REPUBLICA DE)||null||INTERIOR DEL PAIS.||LOS DEMAS.||IMPORTACION O EXPORTACION DEFINITIVA.||Maritimo|| 
 Export||31010001||876.000||43917||(587)  EUROSEMILLAS, S.A.||FRENTE A HIPER MAS CURRIBADAT SOBRE CTRA. VIEJA CA||MAZATLAN, MAZATLAN, SINALOA.||25-11-14||COSTA RICA (REPUBLICA DE)||COSTA RICA (REPUBLICA DE)||null||INTERIOR DEL PAIS.||ABONOS DE ORIGEN ANIMAL O VEGETAL, INCLUSO MEZCLADOS ENTRE SI O TRATADOS QUIMICAMENTE; ABONOS PROCEDENTES DE LA MEZCLA O DEL TRATAMIENTO QUIMICO DE PRODUCTOS DE ORIGEN ANIMAL O VEGETAL.||IMPORTACION O EXPORTACION DEFINITIVA.||Maritimo|| 
 Import||83100099||0.010||90||-ADAMS LLC-ABDTR NET LLC||FAIRFIELD AVE WEST CALDWELL||NUEVO LAREDO, NUEVO LAREDO, TAMAULIPAS.||11-11-14||ESTADOS UNIDOS DE AMERICA||ESTADOS UNIDOS DE AMERICA||null||INTERIOR DEL PAIS.||LOS DEMAS.||IMPORTACION O EXPORTACION DEFINITIVA.||Carretero|| 
 Import||38190099||208.190||14211||-ADAMS LLC-ABDTR NET LLC||FAIRFIELD AVE WEST CALDWELL||NUEVO LAREDO, NUEVO LAREDO, TAMAULIPAS.||11-11-14||ESTADOS UNIDOS DE AMERICA||ESTADOS UNIDOS DE AMERICA||null||INTERIOR DEL PAIS.||LOS DEMAS.LIQUIDOS PARA FRENOS HIDRAULICOS Y DEMAS LIQUIDOS PREPARADOS PARA TRANSMISIONES HIDRAULICAS, SIN ACEITES DE PETROLEO NI DE MINERAL BITUMINOSO O CON UN CONTENIDO INFERIOR AL 70% EN PESO DE DICHOS ACEITES. ||IMPORTACION O EXPORTACION DEFINITIVA.||Carretero|| 
 Import||85389099||1.650||13836||-ADAMS LLC-ABDTR NET LLC||FAIRFIELD AVE WEST CALDWELL||NUEVO LAREDO, NUEVO LAREDO, TAMAULIPAS.||11-11-14||ESTADOS UNIDOS DE AMERICA||ESTADOS UNIDOS DE AMERICA||null||INTERIOR DEL PAIS.||LAS DEMAS.||IMPORTACION O EXPORTACION DEFINITIVA.||Carretero|| 
 Import||34039999||450.000||71245||-ADAMS LLC-ABDTR NET LLC||FAIRFIELD AVE WEST CALDWELL||NUEVO LAREDO, NUEVO LAREDO, TAMAULIPAS.||11-11-14||ESTADOS UNIDOS DE AMERICA||ESTADOS UNIDOS DE AMERICA||null||INTERIOR DEL PAIS.||PREPARACIONES LUBRICANTES (INCLUIDOS LOS ACEITES DE CORTE, LAS PREPARACIONES PARA AFLOJAR TUERCAS, LAS PREPARACIONES ANTIHERRUMBRE O ANTICORROSIÃ“N Y LAS PREPARACIONES PARA EL DESMOLDEO, A BASE DE LUBRICANTES) Y PREPARACIONES DE LOS TIPOS UTILIZADOS PARA ||IMPORTACION O EXPORTACION DEFINITIVA.||Carretero|| 
 Import||90322001||1.000||45287||-ADAMS LLC-ABDTR NET LLC||FAIRFIELD AVE WEST CALDWELL||NUEVO LAREDO, NUEVO LAREDO, TAMAULIPAS.||11-11-14||ESTADOS UNIDOS DE AMERICA||ESTADOS UNIDOS DE AMERICA||null||INTERIOR DEL PAIS.||MANOSTATOS (PRESOSTATOS).||IMPORTACION O EXPORTACION DEFINITIVA.||Carretero|| 
 Import||73071902||1.900||429||-ADAMS LLC-ABDTR NET LLC||FAIRFIELD AVE WEST CALDWELL||NUEVO LAREDO, NUEVO LAREDO, TAMAULIPAS.||11-11-14||ESTADOS UNIDOS DE AMERICA||ESTADOS UNIDOS DE AMERICA||null||INTERIOR DEL PAIS.||ACCESORIOS DE TUBERÃ�A (POR EJEMPLO: EMPALMES (RACORES), CODOS, MANGUITOS), DE FUNDICIÃ“N, HIERRO O ACERO--MOLDEADOS--SIN RECUBRIMIENTO||IMPORTACION O EXPORTACION DEFINITIVA.||Carretero|| 
 Import||84219999||1.100||1107||-ADAMS LLC-ABDTR NET LLC||FAIRFIELD AVE WEST CALDWELL||NUEVO LAREDO, NUEVO LAREDO, TAMAULIPAS.||11-11-14||ESTADOS UNIDOS DE AMERICA||ESTADOS UNIDOS DE AMERICA||null||INTERIOR DEL PAIS.||LAS DEMAS.||IMPORTACION O EXPORTACION DEFINITIVA.||Carretero|| 
 Import||94054001||11.000||19964||-ADAMS LLC-ABDTR NET LLC||FAIRFIELD AVE WEST CALDWELL||NUEVO LAREDO, NUEVO LAREDO, TAMAULIPAS.||11-11-14||ESTADOS UNIDOS DE AMERICA||ESTADOS UNIDOS DE AMERICA||null||INTERIOR DEL PAIS.||LOS DEMAS APARATOS ELECTRICOS DE ALUMBRADO.||IMPORTACION O EXPORTACION DEFINITIVA.||Carretero|| 
 Import||84212999||698.082||725491||-ADAMS LLC-ABDTR NET LLC||FAIRFIELD AVE WEST CALDWELL||NUEVO LAREDO, NUEVO LAREDO, TAMAULIPAS.||11-11-14||ESTADOS UNIDOS DE AMERICA||ESTADOS UNIDOS DE AMERICA||null||INTERIOR DEL PAIS.||LOS DEMAS.||IMPORTACION O EXPORTACION DEFINITIVA.||Carretero|| 
 Import||90262006||2.000||1933||-ADAMS LLC-ABDTR NET LLC||FAIRFIELD AVE WEST CALDWELL||NUEVO LAREDO, NUEVO LAREDO, TAMAULIPAS.||11-11-14||ALEMANIA (REPUBLICA FEDERAL DE)||ESTADOS UNIDOS DE AMERICA||null||INTERIOR DEL PAIS.||MANOMETROS, VACUOMETROS O MANOVACUOMETROS, EXCEPTO LO COMPRENDIDO EN LAS FRACCIONES 9026.20.01 Y 02.||IMPORTACION O EXPORTACION DEFINITIVA.||Carretero|| 
 Import||84798999||1.000||592937||-ADAMS LLC-ABDTR NET LLC||FAIRFIELD AVE WEST CALDWELL||NUEVO LAREDO, NUEVO LAREDO, TAMAULIPAS.||11-11-14||ESTADOS UNIDOS DE AMERICA||ESTADOS UNIDOS DE AMERICA||null||INTERIOR DEL PAIS.||LAS DEMÃ�S MÃ�QUINAS Y APARATOS MECÃ�NICOS CON FUNCIÃ“N PROPIA, NO EXPRESADOS NI COMPRENDIDOS EN OTRA PARTE DE ESTE CAPÃ�TULO, EXCEPTO LOS MECANISMOS DE APERTURA Y CIERRE DE PERSIANAS, PUERTAS Y COCHERAS INCLUSO CON SUS RIELES, OPERADOS A CONTROL REMOTO INALÃ�||IMPORTACION O EXPORTACION DEFINITIVA.||Carretero|| 
 Import||90308999||1.000||30315||01BD-METRAVIB||6, EVENEU LOUIS BLERIOT||AEROPUERTO INTERNACIONAL DE LA CIUDAD DE MEXICO,||13-11-14||FRANCIA (REPUBLICA FRANCESA)||FRANCIA (REPUBLICA FRANCESA)||null||INTERIOR DEL PAIS.||LOS DEMAS.||IMPORTACION O EXPORTACION DEFINITIVA.||Aereo|| 
 Import||84819099||11.790||48796||03-BAKERSFIELD PIPE AND SUPPLY INC.||US HIGWAY 86||NUEVO LAREDO, NUEVO LAREDO, TAMAULIPAS.||4-11-14||ESTADOS UNIDOS DE AMERICA||ESTADOS UNIDOS DE AMERICA||null||INTERIOR DEL PAIS.||ARTÃ�CULOS DE GRIFERÃ�A Y Ã“RGANOS SIMILARES PARA TUBERÃ�AS, CALDERAS, DEPÃ“SITOS, CUBAS O CONTINENTES SIMILARES, INCLUIDAS LAS VÃ�LVULAS REDUCTORAS DE PRESIÃ“N Y LAS VÃ�LVULAS TERMOSTÃ�TICAS--PARTES--LAS DEMAS||IMPORTACION O EXPORTACION DEFINITIVA.||Carretero|| 
 
